GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Feedback Manager,gov.gsa.sam.controller,FeedbackErrorController,8,32,3,1,0,8,2,5,0,5
Feedback Manager,gov.gsa.sam.controller,FeedbackRestController,38,365,8,14,7,60,9,10,1,7
Feedback Manager,gov.gsa.sam.controller,FeedbackController,3,0,0,0,1,0,1,0,1,0
Feedback Manager,gov.gsa.sam.controller,QuestionRestController,0,246,1,5,0,44,1,9,0,7
Feedback Manager,gov.gsa.sam.scheduler,ExportFeedbackScheduler,34,164,2,4,5,26,2,5,0,4
Feedback Manager,gov.gsa.sam.service,FeedbackService,59,283,5,11,8,65,5,12,0,9
Feedback Manager,gov.gsa.sam.service,MailSenderService.new MimeMessagePreparator() {...},40,21,0,0,9,1,1,1,1,1
Feedback Manager,gov.gsa.sam.service,MailSenderService,0,35,0,0,0,6,0,3,0,3
Feedback Manager,gov.gsa.sam.service,QuestionService,80,227,8,8,11,51,7,9,0,8
Feedback Manager,gov.gsa.sam.domain,QuestionContentCoverter,35,0,0,0,11,0,4,0,4,0
Feedback Manager,gov.gsa.sam.domain,QuestionContent,6,11,0,0,2,5,2,3,2,3
Feedback Manager,gov.gsa.sam.domain,FeedbackContentConverter,35,0,0,0,11,0,4,0,4,0
Feedback Manager,gov.gsa.sam.domain,ResponseContent,0,24,0,0,0,10,0,7,0,7
Feedback Manager,gov.gsa.sam.domain,Feedback,11,65,1,1,3,27,4,18,3,18
Feedback Manager,gov.gsa.sam.domain,Question,17,52,1,1,5,22,6,14,5,14
Feedback Manager,gov.gsa.sam.domain,FeedbackContent,0,17,0,0,0,7,0,5,0,5
Feedback Manager,gov.gsa.sam.config,MailConfiguration,31,0,0,0,9,0,2,0,2,0
Feedback Manager,gov.gsa.sam.config,EnvironmentConfig,20,0,2,0,7,0,4,0,3,0
Feedback Manager,gov.gsa.sam.config,SwaggerConfig,19,0,0,0,3,0,2,0,2,0
Feedback Manager,gov.gsa.sam.utilities,Constants,3,0,0,0,1,0,1,0,1,0
Feedback Manager,gov.gsa.sam.utilities,ExportXLSUtil,54,426,7,11,10,101,6,6,0,3
Feedback Manager,gov.gsa.sam.utilities,CustomTimestampSerializer,49,0,2,0,13,0,4,0,3,0
Feedback Manager,gov.gsa.sam.utilities,Utility,21,0,6,0,6,0,5,0,2,0
Feedback Manager,gov.gsa.sam.utilities,CustomDateTimeSerializer,23,0,2,0,6,0,3,0,2,0
Feedback Manager,gov.gsa.sam.utilities,CustomDateTimeDeserializer,17,0,4,0,5,0,4,0,2,0
Feedback Manager,gov.gsa.sam.utilities,CustomTimestampDeserializer,62,0,8,0,14,0,7,0,3,0
Feedback Manager,gov.gsa.sam.utilities,CustomDateDeserializer,14,3,4,0,4,1,3,1,1,1
Feedback Manager,gov.gsa.sam.utilities,CustomDateParser,5,72,1,3,2,17,2,4,1,3
Feedback Manager,gov.gsa.sam.utilities,CustomDateSerializer,23,0,2,0,6,0,3,0,2,0
Feedback Manager,gov.gsa.sam.filter,FeedbackCORSFilter,29,0,0,0,10,0,4,0,4,0
